"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: encoding","Param: lookupPosition","Param: strType"
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,222.909310,0.114630,"ns/op",,,LATIN1
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,223.046896,0.122785,"ns/op",,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,223.946225,1.489754,"ns/op",,,UTF16_UTF16_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,246.654980,2.209581,"ns/op",ISO_8859-1,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,248.295385,2.848999,"ns/op",ISO_8859-1,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,654.434873,6.110395,"ns/op",UTF-8,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,833.818362,10.438884,"ns/op",UTF-8,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,3056.846265,35.457217,"ns/op",UTF-16,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,3053.277868,21.984264,"ns/op",UTF-16,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,136.122635,1.298723,"ns/op",ISO_8859-1,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,136.878787,1.761468,"ns/op",ISO_8859-1,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,648.211227,4.099513,"ns/op",UTF-8,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,640.134081,4.013275,"ns/op",UTF-8,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,3691.857957,189.147508,"ns/op",UTF-16,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,2935.740383,307.101143,"ns/op",UTF-16,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,6.118697,0.173032,"ns/op",,1,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,5.801260,0.161272,"ns/op",,1,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,6.052526,0.173861,"ns/op",,1,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,11.574348,0.066978,"ns/op",,150,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,14.025510,0.632210,"ns/op",,150,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,12.101101,0.073834,"ns/op",,150,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.462219,0.065820,"ns/op",,1,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.479022,0.040981,"ns/op",,1,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.515655,0.047661,"ns/op",,1,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,44.672487,0.323909,"ns/op",,150,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,44.579497,0.214425,"ns/op",,150,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,44.745544,0.317178,"ns/op",,150,UTF16_UTF16_CHAR
"org.github.arnaudroger.Latin1ReaderBenchmark.byteBuffer","avgt",1,200,10796.786960,173.332583,"ns/op",,,
"org.github.arnaudroger.Latin1ReaderBenchmark.reader","avgt",1,200,21995.220778,221.372588,"ns/op",,,
"org.github.arnaudroger.ReaderBenchmark.reader","avgt",1,200,22704.990732,237.883382,"ns/op",UTF-8,,
"org.github.arnaudroger.ReaderBenchmark.reader","avgt",1,200,108541.653374,1837.408472,"ns/op",UTF-16,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1","avgt",1,200,65.101054,0.693875,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1Str","avgt",1,200,53.481115,0.615721,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1ThenUtf16","avgt",1,200,64.873595,0.569449,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1ThenUtf16Str","avgt",1,200,53.418428,0.528814,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendUtf16","avgt",1,200,65.427926,0.772010,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendUtf16Str","avgt",1,200,53.348309,0.603619,"ns/op",,,
