"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: encoding","Param: lookupPosition","Param: strType"
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,220.605609,0.742016,"ns/op",,,LATIN1
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,222.011451,0.758281,"ns/op",,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.CharAtBenchmark.charAt","avgt",1,200,221.796642,0.172953,"ns/op",,,UTF16_UTF16_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,113.556442,0.774902,"ns/op",ISO_8859-1,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,112.973051,0.906222,"ns/op",ISO_8859-1,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,464.288538,2.353505,"ns/op",UTF-8,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,869.687217,4.790348,"ns/op",UTF-8,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,2962.544211,18.566030,"ns/op",UTF-16,,LATIN1
"org.github.arnaudroger.DecodingBenchmark.testDecoding","avgt",1,200,3124.326087,28.153095,"ns/op",UTF-16,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,105.086379,0.959613,"ns/op",ISO_8859-1,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,140.453033,2.501491,"ns/op",ISO_8859-1,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,663.283663,5.573252,"ns/op",UTF-8,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,646.329411,6.996414,"ns/op",UTF-8,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,3161.565703,274.569699,"ns/op",UTF-16,,LATIN1
"org.github.arnaudroger.EncodingBenchmark.testEncoding","avgt",1,200,3158.888876,283.112778,"ns/op",UTF-16,,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,4.755570,0.015626,"ns/op",,1,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,6.253805,0.024500,"ns/op",,1,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,5.792644,0.008363,"ns/op",,1,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,38.746692,0.739803,"ns/op",,150,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,12.709437,0.112983,"ns/op",,150,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfChar","avgt",1,200,13.571651,0.437761,"ns/op",,150,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,8.217988,0.062989,"ns/op",,1,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.948059,0.034158,"ns/op",,1,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,7.932565,0.019316,"ns/op",,1,UTF16_UTF16_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,26.446702,0.352202,"ns/op",,150,LATIN1
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,46.558380,0.575407,"ns/op",,150,UTF16_LATIN1_CHAR
"org.github.arnaudroger.IndexOfBenchmark.indexOfStr","avgt",1,200,45.684526,0.109232,"ns/op",,150,UTF16_UTF16_CHAR
"org.github.arnaudroger.Latin1ReaderBenchmark.byteBuffer","avgt",1,200,8587.212011,164.830205,"ns/op",,,
"org.github.arnaudroger.Latin1ReaderBenchmark.reader","avgt",1,200,20091.541945,345.044385,"ns/op",,,
"org.github.arnaudroger.ReaderBenchmark.reader","avgt",1,200,20070.245780,242.829351,"ns/op",UTF-8,,
"org.github.arnaudroger.ReaderBenchmark.reader","avgt",1,200,104871.884429,1911.475252,"ns/op",UTF-16,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1","avgt",1,200,62.514091,0.505233,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1Str","avgt",1,200,42.270517,0.506451,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1ThenUtf16","avgt",1,200,91.064973,0.900257,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendLatin1ThenUtf16Str","avgt",1,200,65.008162,0.462063,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendUtf16","avgt",1,200,80.450401,0.777458,"ns/op",,,
"org.github.arnaudroger.StringBuilderBenchmark.appendUtf16Str","avgt",1,200,71.749654,0.824885,"ns/op",,,
